distance_to_merchant,hour_of_day,is_weekend,budget_utilization,merchant_regret_rate,dwell_time,purchase_occurred
149,12,0,0.6460224488143569,0.8120897616960853,469,0
297,21,1,0.5786311415098713,0.04596694705137483,335,0
258,17,1,0.19815354698427212,0.28394976617458045,312,0
38,13,1,0.15850961986604872,0.4338716130956287,410,0
93,12,0,0.11198281505383834,0.1085380761432646,284,0
340,2,1,0.36754794980309746,0.6512239687305932,265,0
273,3,1,0.7697263254820512,0.35904980853582236,259,0
328,12,0,0.21911301317554144,0.6195858909397323,566,0
33,11,1,0.11854587166217578,0.9782268281974897,593,1
294,13,1,0.23218276385080017,0.8382866383432703,215,0
62,13,0,0.20015634073498068,0.9764396560920751,380,0
387,16,1,0.11429523204940184,0.2829530048857587,178,0
475,14,0,0.9654508415573999,0.5328623291035376,412,0
422,10,0,0.5279542951418777,0.7570410270982765,132,0
489,23,0,0.8904804491280491,0.25475542883415003,263,0
269,1,1,0.5881173726737917,0.5412811722460485,154,0
383,0,1,0.6197836745715579,0.03845080658779099,227,0
188,5,1,0.1890207976911532,0.464342119603805,202,0
147,3,0,0.6745312616178902,0.13788179436732917,126,0
323,3,0,0.9517413602990211,0.6243314724506506,29,0
254,1,1,0.6109173091941371,0.11901737298422488,260,0
380,21,0,0.6626407097951255,0.07511231544959807,564,0
197,13,1,0.3219320308540622,0.7986215536404849,385,0
287,11,0,0.63813444921123,0.7836298895003148,219,0
477,1,0,0.03672798177178871,0.47986311512329993,533,0
338,7,1,0.6996958201662374,0.5874751717081866,183,0
84,22,1,0.8303492937908867,0.14812511847264997,404,0
353,0,1,0.37925981969462497,0.9458396584379708,455,0
447,11,1,0.2163250296469409,0.9335457245590291,389,0
217,8,1,0.12028172021930539,0.5897327728101117,24,0
439,13,1,0.4947125739598751,0.4272670070308594,368,0
118,17,1,0.6750324532937613,0.688249775339318,435,0
91,2,0,0.13049190907809816,0.4846570664004358,215,0
104,23,0,0.9170325272038741,0.17259870758176676,66,0
434,4,0,0.4950931007300343,0.17213450293541777,569,0
26,12,0,0.626921350590992,0.1058230190201842,148,0
98,4,0,0.5712377036631667,0.7489618765796291,292,0
467,1,0,0.3757289592151466,0.40441820312500176,359,0
488,11,1,0.458488850504693,0.5242393698812098,2,0
357,20,0,0.15811281971063307,0.32314739815563065,536,0
80,18,1,0.757627696779649,0.42216413050035406,561,0
138,22,0,0.38530780737104575,0.7471869490725315,504,1
184,14,1,0.12428528581050036,0.6954975099073033,435,0
329,1,0,0.7293704322498793,0.4859473422238546,265,0
58,1,0,0.7460618780889307,0.9286527591501007,271,0
119,7,0,0.7099888092770262,0.8016073690833683,58,0
64,18,0,0.22453712569571127,0.048907481117204665,458,0
385,14,0,0.7191069966089733,0.8483047240990194,403,0
168,1,0,0.8166856867792208,0.6986080754358082,338,0
47,14,0,0.917081302002498,0.08938625105319187,311,0
368,15,0,0.9749323004405895,0.8896808009631669,438,1
430,4,0,0.7970454497780644,0.02762641421610712,261,0
57,21,1,0.5823467004071456,0.23464993853506388,157,0
468,10,1,0.9251012935451309,0.08570364434999134,205,0
364,14,1,0.017820385612660194,0.8026949538966285,586,0
20,9,1,0.1679414866091089,0.3115393670396466,487,0
304,3,0,0.06377548681260736,0.20541178652601366,72,0
330,16,0,0.4039485516078113,0.2575691622466214,486,0
326,5,1,0.296934774223355,0.12724187144267096,480,0
101,4,0,0.5029511967687832,0.6448703018679445,273,0
51,19,1,0.807139672765102,0.08788249437177509,41,0
124,1,1,0.05202099871105603,0.9759831560273663,117,0
176,14,0,0.1998188444082486,0.5065952757878759,135,0
34,4,0,0.31315814691486443,0.7939021224064793,533,0
70,22,1,0.08032721553185107,0.5257071009296572,329,0
403,4,1,0.38534405337599476,0.6611417091091876,347,0
262,22,1,0.9446234658958323,0.8559181970837053,57,1
